text (S),location (S),phase (S),sentiment (S)
godmorningwednesda wear right mask true worship backhand index pointing right light skin tone stop eating meat backhand index pointing right light skin tone stop smoking tobacco backhand index pointing right light skin tone commit adultery backhand index pointing right light skin tone stop gambling backhand index pointing right light skin tone stop consuming alcohol intoxicants saint rampal ji maharaj must watch sadhna tv 7 30pmmust watch sadhna channel pe 7 30 pmgodmorningwednesda,kolkata,0,NEUTRAL
grace god successfully came hospital discharged special thanks hyd mp janab asaduddin owaisi saab mla kausar mohiuddin saab high recommendation treatment whole heartedly thankful every one praying health,hyderabad,2,POSITIVE
ha bank jobs hectic amar dada ke dekhi fully stressed ektu careful thakis bank eh kintu khud internal politics hoe,kolkata,2,NEGATIVE
hamza yngr bro 9 mnths old struggling n requires help admtd 2 rainbow hsptl n requires n amnt 6 5 lacs cmplt treatment donate cont father akbar 9849905171 hdfc acnt dtl 50100249059280 ifsc hdfc0003739 may allah give shifa ktrtrs asadowaisi,hyderabad,0,NEUTRAL
hi sir best opportunity showcase telangana state strength country regardingcorona free state amp zero case next days please maintain enthusiastic approach towards corona free state telangana best sir ktrtrs amp eatala rajender,hyderabad,1,NEUTRAL
hindus lost war 1925 1947 damage 95 years done far outweighs damage done 800 years foreign rule wrong diagnosis leads wrong treatment,bangalore,0,NEGATIVE
hope recover loss last us 2 game also release,hyderabad,2,NEUTRAL
https youtu n8zptovmyza sunday lockdown full day curfew basavakalyan,hyderabad,2,NEUTRAL
hydtp hydcitypolice rachakondacop cphydcity ras906359 rachakonda tfc reported 9th june hv u penalised yet wearing helmet triple riding wearing mask n spitting road 9th june 5 12pm lalbazar rd share challan copy ref। tq,hyderabad,1,NEUTRAL
ignore folks face tears joy theyre entertainment also folks accepting truth need take precaution force patient got discharged found dr government responsible fr loss however treatmnt,hyderabad,0,NEGATIVE
indian muslims approach gulf countries support indians living gulf drew attention spewing venom indian muslims social media however rightly said ’ internal matter dealt within,delhi,1,NEGATIVE
insensitive momta mumtaz begum responsible killing suvro charterjee without treatment parents lost son administration bengal cm also health minister must resign taking moral responsibility sad death suvro,kolkata,2,NEGATIVE
investigated incompetency dov incompetency concerned government impose curfew three days willingly ent test dcp informed court accordingly honorable president xi visited wuhan hm door door assembly elections yet visit effected,delhi,0,NEUTRAL
kashmir internet lockdown komal sharma absconding jamia shooting shaheen bagh shooting man commits suicide assam due nrc yogi announcing goli anyone speaks government police interrupts artists india fair kunal kamra banned flying,mumbai,0,NEUTRAL
kaustavsengupta sir cancellation situation test negative marking general ability test caused prejudiced many creatively inclined candidates nift deprived talented kids year loss end irrapable,chennai,1,NEGATIVE
kcrunofficial telanganacmo ktrtrs trsharish respected cm sir came know taking review carona small suggestion curfew please continue night curfew well full time curfew every friday monday morning close even essential services,hyderabad,1,NEUTRAL
kindly check dr tanikaachalam save china people knows may medicine works cure corona dont contempt without giving chance,chennai,0,NEUTRAL
leadership taking responsibility others making excuses great job leader cm well mla uddhavthackrey cm maharashtra cmomaharashtrauddhavthackrey cm maharashtra,mumbai,1,POSITIVE
like covid 19 break chain also applicable whatsapp telegram messaging apps see anyone leaking covid 19 patients informations picture email mobile address social networking details please part good citizen break chain covid19covid19,kolkata,1,NEUTRAL
lockdown golden sky,kolkata,1,NEUTRAL
lockdown karnataka 1 400 participated hdk sons marriage 2 bjp mla celebrated birthday party along 100 supporters 3 mandya mlc son beat media people crpf cammando beaten brutally wearing mask resignhmbommairesignhmbommai,hyderabad,1,NEUTRAL
lol face tears joy lie soft fought well dead patients migrant workers,hyderabad,1,NEGATIVE
loss,kolkata,0,NEGATIVE
major lapse india ’ china policy chineseappblocked boycottchineseproduct roll forgot ban virus chinese originchineseappblocked boycottchineseproduct,bangalore,1,NEGATIVE
mam working ground level n everyday trying help migrants delhi utilize scheme generation e coupon thru b availed stopped say scheme availed delhi adeshguptabjp,delhi,2,NEUTRAL
mamata banerjee termed central government run shramik trains ‘ corona express ’ hurting sentiments thousands migrant workers adding sufferings due social stigma didi people bengal give befitting reply 2021 করোনায়ব্যর্থমমতা,kolkata,2,NEUTRAL
many good sacrifices made modi 1 sacrificed people demonitization 2 sacrificed kasmeres illegally abrogating article 370 3 sacrificed people congregating people motera stadium 4 un planned lock 5 sacrificed migrant labourers many,bangalore,1,NEGATIVE
many migrant workers many regular people dont care taking precautions wholesale markets chennai remained open till mid may,chennai,2,NEUTRAL
migrants maharashtra also adopted folded hands,mumbai,0,NEUTRAL
nobody says “ ” anymore coronaviruscoronavirus,mumbai,1,NEGATIVE
opinions us helps find job probably worth,delhi,1,NEUTRAL
palghar police der ny exemption curfew nsp citizen want basic necessity 2 run house ur ruthless constables r hitting us like r dog nt human ven dis atrocities know severity bt 24 hr want exemption fr atleast 2 hr pl help,mumbai,1,NEGATIVE
people sending warm wishes srbachchan recovery yeah good see somewhere india hospitals deny admit critical patients please something mamataofficial banglargorbomb pmoindia narendramodi covid 19 covid19india coronaviruscovid 19 covid19india coronavirus,kolkata,2,NEUTRAL
pls fine randomly everywhere ppl mask following social distancing need strict else cant control covid,bangalore,1,MIXED
rajeevtalwar sir look dlf share price holding past 10 years still loss book loss hold dlf perform like realty stocks god knows price 220rajeevtalwar,chennai,0,NEUTRAL
ready taken listening world dont act like deaf come collectively deal virus win https twitter com dimartinobooth status 1260943002232655872,hyderabad,1,NEUTRAL
realdonaldtrump appreciate federalreserve done expected fight virus whereas trumphasnoplan revive us economic growth china political benefittrumphasnoplan china,mumbai,1,NEUTRAL
risking life feed us feed family great job humble salutes,bangalore,1,NEGATIVE
rock dove lockdown window photography rock dove rock pigeon common pigeon member bird family columbidae common usage bird often simply referred pigeon domestic… https www instagram com p cdomvj2nijc igshid 1ff3sy8xtk5u,bangalore,2,NEUTRAL
rsprasad chinese app ban applied people india useing posting tiktok videos social media date ban applied,mumbai,2,NEUTRAL
sana read part 17 caught hospital well written usual take care health first work next one till cook khayali pulav u care face blowing kiss face blowing kiss,bangalore,0,NEUTRAL
sense make halt recruitment railways middle dire unemployment crisis april year 27 million youth aged 20 30 years lost jobs stoprailwaysabotagestoprailwaysabotage,kolkata,2,NEGATIVE
short writeup discussing dangerous piece misinformation pertaining clorox covid19 infection written adithyavikrams1 clorox coronavirus covidー19 novelcoronavirus corona fakenews health safety deadly viruswriteup dangerous misinformation covid19 infection clorox coronavirus covid novelcoronavirus corona fakenews health safety deadly virus,chennai,1,NEUTRAL
social distancing bro,bangalore,1,NEUTRAL
someday kid grow experience pain loss stays etched memory matter age hope ’ remember country migrantlabourers migrantlabourersdying migrantlivesmatter migrantsontheroad atmanirbharbharatmigrantlabourers migrantlabourersdying migrantlivesmatter migrantsontheroad atmanirbharbharat,bangalore,1,NEUTRAL
suryakdhasmana proud know god krishna wishes send corona christ watching jerusalem enjoying sufferings,mumbai,1,POSITIVE
telangana state lowest testing rate ill equipped health system health common man insecured go,hyderabad,2,NEUTRAL
thanks,kolkata,0,POSITIVE
think rgiahyd need provide free mask passengers hyderabadhyderabad,hyderabad,0,NEUTRAL
time ask whos going pick tab coronavirusindia shutdown possible estimate potential loss due days shut gst filings bibekdebroy sanjeevsanyalcoronavirusindia gst,kolkata,0,NEUTRAL
time protect family friends loved ones deadly coronavirus wearing mask buy call 9000539552 arkjet1 gmail com asadowaisi viruscorona coronavirusindia https imojo 3fw1jbo wuhancoronavius bhavikakapoor5viruscorona coronavirusindia wuhancoronavius,hyderabad,0,NEUTRAL
tn blooddonate urgent dear friends need negative blood dad heart surgery happening today 14 02 2020 12pm patient name karunakaran hospital mmm madras medical mission place mugapair chennai attender name manoj kumar oh 9600955597negative mmm,chennai,0,NEUTRAL
two hundred days lockdown kashmir ‘ new normal ’,hyderabad,0,NEUTRAL
udhavthackeray saheb please impose proper curfew folded hands medium skin tone janta curfew enough lockdown norms taken lightly folded hands medium skin tone jai maharashtra jai hindudhavthackeray,mumbai,1,NEUTRAL
vt news newspaper 14 07 2020 promotions scroll legal notice envelope follow us arrow instagram https instagram com virtualtimes news daily igshid 1dc0h21sopvev twitter https twitter com dailyvt 09 youtubehttps www youtube com channel ucuftiwvnwqlpjatkjjh1hpq sports covid19 stayhomestaysafe – nagarvt sports covid19 stayhomestaysafe,chennai,2,NEUTRAL
west bengal kolkata didi hiding corona cases city come red zone shouted instead http work hospitals behavior staffs rude peoples behavior regarding corona unacceptable,kolkata,1,NEGATIVE
wish every state health minister like,delhi,1,POSITIVE
woah irans health minister gets coronavirus scary probably indication deep virus impacted country im sure grossly underreported coronavirusoutbreak covid 19 irancoronavirus coronavirusoutbreak covid 19 iran,hyderabad,0,NEUTRAL
yes alone past 4 5month house thought pari milap said talk fact flops break alia people conner social media trolls worrid isnt overthiker chilled person also,kolkata,1,NEGATIVE
गुजराती फिर भी इन्हें ही वोट करते है deserve kind treatment thumbs thank बजरंग दल showing place,delhi,0,POSITIVE
’ make twitter account katekar tweet ‘ meow ’ everyday end time let ’ see far exploit pet social media attention – cuffe parade,mumbai,0,NEUTRAL
20 jan kk shailaja phoned one medically trained deputies read online dangerous new virus spreading china “ come us centre date need leaders like shailajateacher maamchina,bangalore,1,NEUTRAL
absolutely irresponsible patients run away treatment possibly due ignorance fear time govt takes serioy posts police personnel around patients ensure dont escape put others risk,mumbai,0,NEGATIVE
according bhakts modia responsible nepal snubbing us rahulgandhi responsible china occupying territory rahulgandhi responsible taking migrants home rahulgandhi modi responsible asking people clap balcony,hyderabad,1,NEGATIVE
ajitisaac hi ajit one employee security guard amp fly affected virus amp hospitalized victoria hospital blr however children wife struggling get admission also dire need financial support attendant contact 9611482788,bangalore,2,NEGATIVE
amazing job people anything talk absolutely focused best capacity much people understand let ur critiques making u stronger better,delhi,1,POSITIVE
amidst corona panic one good news feel happy,chennai,0,POSITIVE
angle right many people better terms due lockdown,delhi,2,NEGATIVE
anti public govt running telanganacmo initial days lockdown people come forword rationkits food packets hyd mayor stoped people trying save lifes oxygen cellenders raiding trying stop public govt,hyderabad,2,NEGATIVE
bad told sing jana gana mana illegal migrants sing anthem india time nrc illegal residents thrown india immediately restore peace,bangalore,0,NEGATIVE
bahut na insaafi hai covid k zamane itna travel theek nahi judiciary shud take sangyan current health situation globally strongly request baggaji life shud b put danger virtual ka zamana hai,kolkata,2,NEGATIVE
bbcnews bbcworld imperial colonial servants look bloody country stop peddling lies corona india look deaths happening great uk ur pm health secretary prince first care knows 96yo queen next line take care,chennai,1,NEGATIVE
bhai saab houses cant build illegally migrants relatives visiting home pictures already homes,hyderabad,0,NEUTRAL
big loss broken heart sushantsinghrajput ripsushantsinghrajput ripssrsushantsinghrajput ripsushantsinghrajput ripssr,mumbai,1,NEGATIVE
bnikhangju seen video outstanding support asim nice see social network also following lock following list growing heart indiaasim,kolkata,0,POSITIVE
buying helping social cause navkshitij ngo caring mentally challenged friends set stall campus students isbs managed sale various products made special friends students faculty amp staff contributed buying wonderful articlesnavkshitij,mumbai,0,NEUTRAL
catch hold mis information mongers media people isolate keep isolated yrs camps near siachen glaciers make useful jobs af required keep double fencing amp shoot kill order escapes,chennai,0,MIXED
chart looks crash rural employment april 2020 lowest past 5 years nrega families shd given least one month wages loss month april pmoindia asked private sector pay workers shouldnt lead exampleemployment nrega workers,mumbai,1,NEGATIVE
chennai gloves masks selling mrp lab hospitals gives tests even ’ basis assessment,chennai,0,NEGATIVE
chennai lockdown way guess enemies great city,chennai,2,NEUTRAL
cmomaharashtra mha guidelines issued today clearly mention unhindered unrestricted inter district travel except containment zones unless u hve declared complete lockdown entire state guideline today violation order ppl business interests,mumbai,2,NEGATIVE
coinmaster coinmastergame loving game ever since downloaded coinmaster regrets also best choice game never disappoint also surprise new events freebies every day smiling face 3 hearts coinmaster lockdown game madness beaming face smiling eyes coinmaster lockdown best friendcoinmaster coinmastergame coinmaster coinmaster,bangalore,2,POSITIVE
corona virus could enter india due high security indian hospitals sri mallikarjuna swamy devasthanam komuravelli https www instagram com p b8dygwfam7w igshid 1dbgfs8ds39hz,mumbai,0,NEUTRAL
corona virus spreading fastly india requesting nsitharaman madm due strict lock income pay emis bank calling making torture pay loans immediately kindly forward issue middle class peoples evenaffec,chennai,1,NEGATIVE
covid 19 virus mutating fast viruses mutate fast vaccines influenza dengue,hyderabad,2,NEUTRAL
covid19 produced special category homo sapiens chin breathers,bangalore,1,NEUTRAL
cure world covid19 unknowlegable vestige people challenges global scientists dontspreadshit halfknowledgeisdengerouscovid19 dontspreadshit halfknowledgeisdengerous,mumbai,0,NEUTRAL
dineshwadera agreed atleast 7 days lock starts 01 april people settle one week complete curfew 1 month,delhi,1,NEGATIVE
dmgbnagar curfew timings noida monday friday weekdays please clarify,delhi,2,NEUTRAL
dr fauci ’ want rush opening specially blvs wl b resurgence virus fall potus wants opened bcs elx coming wow astonished face,delhi,1,MIXED
due illegal construction commercial business motilal nagar goregaon west mumbai blessing concerns official huge fire break loss valuable wealth mygovindia mygovmaha mhadamitra aaple sarkar timesofindia mid day aajtak cmomaharashtra mcgm bmc,mumbai,0,NEUTRAL
eisamay kolkata coronavirus outbreak safeguard sskm hospital city started swab tests facilities beliaghata id hospital city http facility view rise number suspected victims specially foreigners returned,kolkata,0,NEUTRAL
else one expect daughter bhaskar ghose wife pioneer presstitutes sardesai third rate journalists frustrated loss entitlement,mumbai,2,NEUTRAL
epstamilnadu first relax movement state inter district restriction govt hinted public must practice hygiene social distancing learn live corona course ensure free movement public everyone take care,chennai,1,NEUTRAL
every one going remember year 2020 millions people lost job business whole world suffering pandemic situation coronavirus earthquake face head bandage cyclone already made huge damage kolkata two famous personalities already reminder ribbon selector itsssr confounded facecoronavirus earthquake cyclone,kolkata,1,NEGATIVE
exposed https youtu 1f2nlcpq28q report bengaluru marathalli slums demolition slums became target hatred propaganda slums poor north indian migrant workers hv razed carrying hate campaign terming amp branding dem bangladeshis bjp rss,hyderabad,0,NEGATIVE
finally feels good back home lockdown happening covidー19 nammabengaluru pleased measures indian govt taken get things control stay safe everyonecovid nammabengaluru,bangalore,0,POSITIVE
first big defence purchase without congress without commission dalali gandhi family sonia son daughter jamai ji suffer big financial loss due kickbacks,delhi,2,NEUTRAL
first relationship mind body health relationships depand happyvalentinesday2020happyvalentinesday2020,kolkata,0,NEUTRAL
full curfew states including tamil nadu coming soon covid 19covid 19,chennai,1,NEUTRAL
going amount misinformed videos whatsapp shouldnt government coming todays misinformation buster like everyday task health minster every couple days speech includes right information coronalockdowncoronalockdown,delhi,1,NEGATIVE
government decides treat coronavirusinindia notified disaster purpose providing assistance state disaster response fund sdrf coronaviruspandemic covid19 – rao nagarcoronavirusinindia coronaviruspandemic covid19,hyderabad,0,NEUTRAL
great job mayorofs junaid mattu need like passionate bringing much needed change passion drives excellence,mumbai,0,POSITIVE
health amit ji,kolkata,2,NEUTRAL
heartsoulfit followed video youtube full body workout exercises thank tough first day awesome grt job thumbs,chennai,1,POSITIVE
honble pm mann ki baat advocated mask may gamchha home made krishi jagran facebook live daily 6 7 pm today portal news see https krishijagran com news designer face masks fashion symbol,delhi,1,NEUTRAL
hope govt organises flight rescue stranded citizen requires special treatment face tears joy face tears joy vanakkamdamaplavanakkamdamapla,chennai,1,NEUTRAL
im impressed money looks social status job titles rather im impressed someone treats human beings without looking kinda personal benefits victory hand light skin tone red heart selector,bangalore,0,POSITIVE
india pharmacy world considered top country development vaccines 60 share world markets far coronavirus vaccineswork concerned icmr hurry get fast track mode develop covid19 vaccinecoronavirus vaccineswork covid19,hyderabad,2,NEUTRAL
investors need patient corona investments aaj kuch bhee mat karo na,chennai,0,NEUTRAL
irrespective govt heart melted reading ur tweet dont know say feel like happening everywhere tn hospitals im afraid testing reports showing every tn news channel mess stating many test done compared others,chennai,1,NEGATIVE
kcetstudentsinhcforjustice dear karnataka govt thank much gift conducting kcet tomorrow appreciate understanding support spread wings expand horizons im sure youre gon na pleased results love coronakcetstudentsinhcforjustice kcet,bangalore,2,POSITIVE
kids didnt starve corona play part time come rascals like turnsl blind poor r crisis always,mumbai,1,NEGATIVE
long special day day eat dinner well past 8 pm curfew dont feel guilty consuming food school mate classmate chef meeting after… https www instagram com p b9cqt9kbtce igshid 9qsmyitls9iq,hyderabad,0,NEUTRAL
loss provided agr dues practically loss,hyderabad,2,NEGATIVE
mahamorcha azadmaidan mumbaiagainstcaa npr social political peoples maha morchamahamorcha azadmaidan mumbaiagainstcaa npr,mumbai,0,NEUTRAL
manipaluni psph mahe offered 5 ects cross sectoral public health module 12 students tampereuni 22 feb 1 mar dr tarja kinnunen tuni coordinated courses identified reliable field visits prospective tuni internships taking place mahe – manipal edu buildingects tuni mahe,bangalore,0,NEUTRAL
mental health something needs taken seriously country society families need understand one needs help help meditation taught compulsory subject kids right age start teaching,delhi,1,NEUTRAL
migrants time mohsin hamid exit west spicollective spi collective spi bnw fineart photobw fineart graphic art atmosphere natgeo bnwphotography bnwlife burnmagazine magnumphotos streetphotography streetphoto bnw artphotography shotoniphonespicollective spi collective spi bnw fineart photobw fineart graphic art atmosphere natgeo bnwphotography bnwlife burnmagazine magnumphotos streetphotography streetphoto bnw artphotography shotoniphone,mumbai,0,NEUTRAL
must migrants area keep hovering around bikes alert keep eye activities,mumbai,2,NEUTRAL
nam bharatha sevai charitable trust nbs pasiyatruvom nam bharatha sevai charitable trust provides free food needies near poonneri developing area nbs pasiyatruvom free food chennai lockdown… https www instagram com p cdorj96njec igshid 1q0gxcx3z8psznbs nbs pasiyatruvom free food chennai lockdown,chennai,2,NEUTRAL
narendramodi hi bureaucracy ’ know simply forgotten common man ’ struggle edu livelihood amp healthcare jobs lives secure hence indifference even govt works hard providing relief babu ’ resist amp impediment execution covidー19covid,chennai,1,NEUTRAL
need wait lets stregthened public health systems entire referral state ultimately government hospital help endemic epidmeics,hyderabad,0,NEUTRAL
non curfew hour good smiling face smiling eyes,mumbai,2,POSITIVE
normalisation survellience wake covid19 number13incovid19,chennai,2,NEUTRAL
one aspect caa nrc still clear implementation fate muslim migrants taken refuge india included npr amp allowed live india usual residents considered intruders amp driven outside country wesupportcaacaa nrc wesupportcaa,mumbai,0,NEUTRAL
people aware empowered talk whats behind increasing water shortages drying lakes ambattur chennai water protection movement paints loss chennais water bodies,chennai,0,NEGATIVE
please inform program details upcoming live lap uro workshop preeti urology kidney hospital hyderabad program starts 8am 1st march lapuro urosomelapuro urosome,hyderabad,0,NEUTRAL
pmsir u yr duty perlord krishna without looking duryodhana shakuni dharitrashtra anywhere u yr best direct transfer migrant workers disturbed state govt didnt pass free rashan pl increase rashanqty 10kg,delhi,1,NEUTRAL
priya please send nearest mental hospital think agra,kolkata,0,NEGATIVE
profile tweet openly displaying sickness first family us united states dont people go doctor get treatment think obamacare cost alot l dont worry realdonaldtrump replace obamacare jan 20 2021 thumbs – ecil circleobamacare,hyderabad,0,NEUTRAL
punekar thing close labs sunday middle pandemic pune covid19pune covid19,mumbai,1,NEUTRAL
rafel hospital pakistan china main banega,delhi,2,NEUTRAL
rammadhavbjp kashmir asked stock 2 months lpg looks like post corona visit erstwhile pok visit new friendly country balochistan visa arrival get pok even china trouble road runs pok,kolkata,1,NEUTRAL
received visa march unable travel due lockdown dropped email coronavirus immigration helpline regarding 30 day vignette havent received reply yet procedure applying replacement vignette 30dayvignette30dayvignette,bangalore,1,NEUTRAL
resignhmbommai soldier one safeguards common people 24 7 harassing arresting cobra commando sachin sake wearing mask highly condemnable bsybjp cmofkarnataka ctravi bjp yuva brigaderesignhmbommai,hyderabad,1,NEGATIVE
sad doesnt social media sites otherwise next would diarrhea called twitter,delhi,2,NEGATIVE
sad goi warned coronavirus first jan spread death feb knowing non treatable busy politics huge trump show shaheen bagh riots ended mp topple topple pm appears janta curfew alert mask distance stay home pushed feb backhand index pointing,kolkata,1,NEGATIVE
scary time need time wuhan lockdownwuhan lockdown,mumbai,0,NEGATIVE
service request staffs arent available receiving nos calles everyday bill collection however one month bill pending nos disconnection threatening calles sms everyday nothing lockdown pay bill wants connected airtel presence trai,mumbai,1,NEGATIVE
shocked sad hear loss sushant singh rajput young talented actor condolences family friends may soul rip folded hands hollywood bollywood… https www instagram com p cbapdkug11deqesumcuett4nezg7uhbk3tgsx40 igshid 1lz5q9q3upv8fhollywood bollywood,hyderabad,1,NEGATIVE
shocked sad hear loss sushant singh rajput young talented actor inspiration broken heart broken heart loudly crying face rip folded hands ripsushantsinghrajputripsushantsinghrajput,delhi,1,NEGATIVE
sir ji trust worthy modiji hope education health care food water shelter social security prosperity priority nation,mumbai,2,NEUTRAL
spicejet pilot way delhi airport last night looted near iit flyover gun point crime rate bound increase economic distress widespread jobloss,delhi,1,NEGATIVE
still indians living earning well whole world must place economic migrants like people adopt indians india prob illegal immigrants threat security country,delhi,0,MIXED
students union delhi universitys school social work demands arrest bjp leader kapil mishra says ashamed fact alumnus college,hyderabad,0,NEGATIVE
survival virus zipper mouth face,delhi,1,NEUTRAL
thank governor madam glad took cognisance health issue pulling government like see many areas health education grossly neglected ts,hyderabad,0,MIXED
think sooryavanshi digital release long dont know whats ahead theatres run half capacity anyway loss whats thought himeshmankad sooryavanshisooryavanshi,mumbai,1,NEUTRAL
thought mask long time back,chennai,0,NEUTRAL
today 8 kaithi loved rewatching lockdown stayathomesaveliveslockdown stayathomesavelives stayathomesavelives,chennai,1,POSITIVE
told u earlier ur delivery boy wear proper mask gloves,chennai,1,NEUTRAL
tragic loss irrfankhan one finest actors ripirrfankhan may allah fill family blessings protectionirrfankhan ripirrfankhan,hyderabad,1,POSITIVE
tswithkcr ktroffice telanganacmo sir hyderabad situation bad covid please take action atleast try take action night curfew people maintaining social distance one auto 5 people travelling social distancing,hyderabad,1,NEGATIVE
tweeted beginning migrant workers crisis need paying salaries wages enough least food amp accomodation companies failed take care workers come distant places many migrant workers might return many may,chennai,1,NEUTRAL
unitedagainstcorona kchirutweets iamnagarjuna iamsaidharamtej iamvaruntej musicdirectorkoti joined together educate people covid19 shoot recorded home asking everyone stay safe https youtu eijwca9e1me indiafightscoronaunitedagainstcorona musicdirectorkoti covid19 indiafightscorona,hyderabad,1,NEUTRAL
veteran actor rishi kapoor hn reliance foundation hospital mumbai earlier diagnosed cancer 2018rishi cancer,delhi,1,NEUTRAL
vietnam 0 deaths covid19 densely populated country,hyderabad,1,NEGATIVE
vijayabaskarofl sir please see video simple mask turns respiratory mask follow doctors nurses coranavirues https www facebook com 618154872 posts 10158302512194873coranavirues,chennai,1,NEUTRAL
way lockdown curfew,bangalore,0,NEGATIVE
yesterday joint sec mr agarwal briefed usin plasma treatment covid illegal well tell anything enquiring,delhi,1,NEGATIVE
